E	I
4	4.12
4.2	2.902222222222222
4.4	3.6033333333333335
4.6	4.345555555555555
4.8	5.291111111111111
5.0	6.39
5.2	7.661111111111111
5.4	9.261111111111111
5.6	10.328888888888889
5.8	11.318888888888889
6.0	12.614444444444445
6.2	13.994444444444444
6.4	15.46888888888889
6.6	17.07111111111111
6.8	17.91111111111111
7.0	18.112222222222222
7.2	17.537777777777777
7.4	17.274444444444445
7.6	15.63
7.8	15.323333333333334
8.0	14.615555555555556
8.2	13.873333333333333
8.4	12.971111111111112
8.6	12.253333333333334
8.8	12.55
9.0	12.983333333333333
9.2	13.738888888888889
9.4	14.497777777777777
9.6	16.113333333333333
9.8	17.985555555555557
10.0	20.38
10.2	23.014444444444443
10.4	25.34111111111111
10.6	27.92111111111111
10.8	30.033333333333335
11.0	30.933333333333334
11.2	31.32111111111111
11.4	33.05444444444444
11.6	33.3
11.8	34.72666666666667
12.0	35.63
12.2	36.69888888888889
12.4	37.89111111111111
12.6	38.84111111111111
12.8	38.79555555555555
13.0	38.56
13.2	36.361111111111114
13.4	33.785555555555554
13.6	31.086666666666666
13.8	30.286666666666665
14.0	27.03
14.2	24.95
14.4	22.895555555555557
14.6	21.372222222222224
14.8	19.19333333333333
15.0	17.89
15.2	16.78
15.4	15.276666666666667
15.6	14.085555555555555
15.8	13.146666666666667
16.0	12.057777777777778
16.2	11.532222222222222
16.4	10.554444444444444
16.6	10.582222222222223
16.8	10.61
17.0	10.602222222222222
17.2	10.801111111111112
17.4	11.212222222222222
17.6	12.5
17.8	13.858888888888888
18.0	15.96
18.2	17.692222222222224
18.4	20.43
18.6	23.587777777777777
18.8	25.95111111111111
19.0	27.973333333333333
19.2	32.04888888888889
19.4	34.93
19.6	38.80555555555556
19.8	43.24111111111111
20.0	46.931111111111115
20.2	53.54
20.4	56.79
20.6	60.78888888888889
20.8	31.92111111111111
21.0	69.78333333333333
21.2	77.41222222222223
21.4	84.58888888888889
21.6	83.59666666666666
21.8	89.29666666666667
22.0	93.71222222222222
22.2	94.13111111111111
22.4	97.95555555555555
22.6	102.92555555555556
22.8	99.59444444444445
23.0	105.69555555555556
23.2	109.63
23.4	106.49
23.6	113.83333333333333
23.8	115.52222222222223
24.0	128.69555555555556
24.2	127.05555555555556
24.4	126.46666666666667
24.6	126.10777777777778
24.8	128.92666666666668
25.0	124.96222222222222
25.2	137.5388888888889
25.4	120.33111111111111
25.6	123.91333333333333
25.8	117.16333333333333
26.0	114.69
26.2	100.89666666666666
26.4	97.07
26.6	92.94555555555556
26.8	83.32
27.0	81.2388888888889
27.2	72.14444444444445
27.4	69.04555555555555
27.6	67.47222222222223
27.8	65.06777777777778
28.0	61.276666666666664
28.2	58.49
28.4	53.91111111111111
28.6	53.35111111111111
28.8	50.03777777777778
29.0	50.73555555555556
29.2	49.19444444444444
29.4	48.49777777777778
29.6	47.43222222222222
29.8	46.61333333333334
30.0	47.5
30.2	45.772222222222226
30.4	49.38333333333333
30.6	49.96888888888889
30.8	52.75333333333333
31.0	53.07111111111111
31.2	54.35444444444445
31.4	56.31444444444445
31.6	60.29666666666667
31.8	61.736666666666665
32.0	61.56
32.2	61.373333333333335
32.4	66.35111111111111
32.6	73.8488888888889
32.8	80.38222222222223
33.0	73.39333333333333
33.2	80.37555555555555
33.4	86.71777777777778
33.6	93.54333333333334
33.8	96.91777777777777
34.0	98.02333333333333
34.2	48.82222222222222
34.4	47.90777777777778
34.6	48.74333333333333
34.8	51.82222222222222
35.0	56.18888888888889
