E	I
4	22.6425
4.2	10.8625
4.4	9.9625
4.6	9.71
4.8	9.7475
5.0	10.0225
5.2	10.5375
5.4	11.5075
5.6	11.92
5.8	12.835
6.0	14.195
6.2	15.65
6.4	16.98
6.6	18.405
6.8	18.98
7.0	18.8175
7.2	17.8525
7.4	17.42
7.6	15.5825
7.8	15.17
8.0	14.43
8.2	13.6625
8.4	13.0175
8.6	12.2975
8.8	12.8225
9.0	13.295
9.2	14.12
9.4	15.0325
9.6	16.8425
9.8	18.9475
10.0	21.5725
10.2	24.545
10.4	27.2275
10.6	30.065
10.8	32.84
11.0	33.745
11.2	34.57
11.4	36.89
11.6	37.235
11.8	39.33
12.0	39.9525
12.2	41.6725
12.4	43.1675
12.6	44.4
12.8	44.695
13.0	44.5925
13.2	42.3075
13.4	39.4575
13.6	36.4175
13.8	35.3125
14.0	31.695
14.2	28.95
14.4	26.6675
14.6	24.805
14.8	22.18
15.0	20.65
15.2	19.2725
15.4	17.445
15.6	15.99
15.8	14.815
16.0	13.425
16.2	12.875
16.4	11.605
16.6	11.61
16.8	11.605
17.0	11.67
17.2	11.795
17.4	12.23
17.6	13.5725
17.8	14.925
18.0	17.3175
18.2	19.0525
18.4	21.985
18.6	25.2225
18.8	27.935
19.0	29.7325
19.2	34.005
19.4	37.2
19.6	41.245
19.8	45.5875
20.0	49.615
20.2	56.9375
20.4	60.355
20.6	64.9825
20.8	35.1175
21.0	74.86
21.2	82.3525
21.4	89.5575
21.6	88.875
21.8	95.4475
22.0	99.145
22.2	99.795
22.4	103.31
22.6	109.425
22.8	106.1625
23.0	112.55
23.2	116.545
23.4	110.6425
23.6	120.6825
23.8	123.18
24.0	134.9775
24.2	133.945
24.4	133.68
24.6	133.245
24.8	135.7875
25.0	129.94
25.2	145.045
25.4	125.4225
25.6	128.5825
25.8	119.6825
26.0	117.6725
26.2	103.405
26.4	99.73
26.6	93.8275
26.8	83.485
27.0	81.6525
27.2	71.9575
27.4	69.095
27.6	67.3625
27.8	64.715
28.0	60.71
28.2	57.2725
28.4	52.5625
28.6	51.2725
28.8	48.225
29.0	48.33
29.2	46.365
29.4	46.2475
29.6	44.355
29.8	43.2
30.0	44.665
30.2	42.215
30.4	45.8625
30.6	46.8975
30.8	48.8
31.0	48.8325
31.2	50.4425
31.4	52.24
31.6	56.415
31.8	58.1575
32.0	58.8825
32.2	57.6225
32.4	62.9975
32.6	71.6125
32.8	78.0875
33.0	70.65
33.2	77.57
33.4	84.1225
33.6	91.7125
33.8	95.1325
34.0	97.085
34.2	69.7125
34.4	69.855
34.6	71.735
34.8	75.5525
35.0	78.02
