E	I
0	9.416944444444445
0.2	9.416944444444445
0.4	9.40611111111111
0.6	0.09166666666666667
0.8	0.060277777777777784
1.0	0.057499999999999996
1.2	0.05111111111111111
1.4	0.061111111111111116
1.6	0.07305555555555555
1.8	0.05944444444444444
2.0	0.05444444444444444
2.2	0.05333333333333334
2.4	0.0661111111111111
2.6	0.08333333333333333
2.8	0.0975
3.0	0.11388888888888889
3.2	0.13694444444444445
3.4	0.14277777777777778
3.6	0.14666666666666667
3.8	0.1547222222222222
4.0	0.16
4.2	0.18666666666666665
4.4	0.7502777777777777
4.6	7.6225000000000005
4.8	27.67972222222222
5.0	60.8025
5.2	104.68138888888889
5.4	150.43333333333334
5.6	188.2863888888889
5.8	215.68111111111114
6.0	233.14499999999998
6.2	242.14055555555555
6.4	245.03222222222223
6.6	243.3275
6.8	238.20527777777778
7.0	230.74583333333334
7.2	221.21444444444444
7.4	211.18277777777777
7.6	201.0663888888889
7.8	191.1486111111111
8.0	181.80749999999998
8.2	173.20916666666665
8.4	165.23083333333332
8.6	158.16055555555556
8.8	152.18055555555557
9.0	146.87861111111113
9.2	142.6725
9.4	139.6147222222222
9.6	138.13055555555556
9.8	137.7783333333333
10.0	138.75611111111112
10.2	141.02666666666667
10.4	143.94722222222222
10.6	148.17944444444444
10.8	152.65055555555557
11.0	158.3552777777778
11.2	164.7313888888889
11.4	171.30527777777777
11.6	178.74
11.8	185.86361111111114
12.0	193.2213888888889
12.2	200.89722222222224
12.4	208.675
12.6	216.43888888888887
12.8	224.31194444444444
13.0	231.67027777777776
13.2	238.8372222222222
13.4	245.11027777777778
13.6	250.76416666666665
13.8	255.76444444444445
14.0	259.7630555555556
14.2	263.3291666666667
14.4	265.9108333333333
14.6	268.0419444444444
14.8	269.4166666666667
15.0	270.43916666666667
15.2	271.1052777777778
15.4	271.56888888888886
15.6	271.8794444444444
15.8	272.0538888888889
16.0	272.1725
16.2	272.20416666666665
16.4	272.20694444444445
16.6	272.22583333333336
16.8	272.21083333333337
17.0	272.20972222222224
17.2	272.2502777777778
17.4	272.2502777777778
17.6	272.2269444444445
17.8	272.1741666666667
18.0	272.10333333333335
18.2	272.06
18.4	272.05611111111114
18.6	272.12361111111113
18.8	272.1922222222222
19.0	272.1913888888889
19.2	272.21000000000004
19.4	272.1683333333333
19.6	272.12694444444446
19.8	272.1458333333333
20.0	272.1405555555555
20.2	272.17277777777775
20.4	272.2119444444444
20.6	272.2313888888889
20.8	272.24666666666667
21.0	272.2405555555556
21.2	272.21805555555557
21.4	272.1927777777778
21.6	272.19972222222225
21.8	272.2055555555555
22.0	272.2102777777778
22.2	272.2347222222222
22.4	272.22444444444443
22.6	272.2269444444445
22.8	272.2077777777778
23.0	272.1197222222222
23.2	272.0588888888889
23.4	271.86
23.6	271.5686111111111
23.8	271.41499999999996
24.0	271.1430555555555
24.2	270.78333333333336
24.4	270.1822222222222
24.6	269.44694444444445
24.8	268.36944444444447
25.0	266.99777777777774
25.2	265.5075
25.4	263.6455555555555
25.6	261.71166666666664
25.8	259.31555555555553
26.0	256.5475
26.2	253.5316666666667
26.4	250.0511111111111
26.6	246.6988888888889
26.8	243.16666666666666
27.0	239.35722222222222
27.2	235.3538888888889
27.4	231.5225
27.6	227.3552777777778
27.8	223.26222222222222
28.0	219.59722222222223
28.2	215.8502777777778
28.4	212.55388888888888
28.6	209.3377777777778
28.8	205.79305555555555
29.0	202.41416666666666
29.2	199.18444444444447
29.4	196.42277777777775
29.6	194.12388888888887
29.8	191.74944444444446
30.0	189.485
30.2	187.37944444444446
30.4	185.34805555555556
30.6	183.60166666666666
30.8	182.27
31.0	180.75027777777777
31.2	179.20083333333332
31.4	177.97111111111113
31.6	176.62805555555553
31.8	174.8513888888889
32.0	173.625
32.2	171.91416666666666
32.4	170.42055555555555
32.6	169.22027777777777
32.8	167.82777777777778
33.0	166.65472222222223
33.2	165.14555555555555
33.4	163.70777777777778
33.6	162.53777777777776
33.8	161.11249999999998
34.0	159.7625
34.2	155.69277777777776
34.4	151.9936111111111
34.6	147.6963888888889
34.8	143.4297222222222
35.0	142.3047222222222
