E	I
4.0	0.0
4.2	0.0
4.4	0.0
4.6	0.0
4.8	0.0
5.0	0.0
5.2	0.0125
5.4	0.0
5.6	0.0025
5.8	0.0
6.0	0.0
6.2	0.015
6.4	0.005
6.6	0.015
6.8	0.0075
7.0	0.0325
7.2	0.0575
7.4	0.1425
7.6	0.3975
7.8	0.58
8.0	0.81
8.2	1.31
8.4	1.3675
8.6	2.0
8.8	2.595
9.0	3.325
9.2	4.1725
9.4	4.9125
9.6	5.3525
9.8	6.2
10.0	6.5975
10.2	6.8675
10.4	6.845
10.6	7.1225
10.8	7.4125
11.0	6.86
11.2	6.895
11.4	6.525
11.6	6.2175
11.8	6.0325
12.0	6.265
12.2	6.19
12.4	5.865
12.6	4.705
12.8	4.76
13.0	4.45
13.2	4.3125
13.4	3.8825
13.6	3.5525
13.8	3.415
14.0	3.4125
14.2	2.7375
14.4	2.64
14.6	2.7375
14.8	2.195
15.0	2.3
15.2	2.15
15.4	1.8525
15.6	1.9525
15.8	1.8525
16.0	1.675
16.2	1.8725
16.4	1.7825
16.6	1.595
16.8	1.6325
17.0	1.7825
17.2	1.6425
17.4	1.545
17.6	1.5525
17.8	1.8025
18.0	1.76
18.2	2.01
18.4	2.03
18.6	1.865
18.8	2.0575
19.0	1.82
19.2	1.9775
19.4	2.075
19.6	1.98
19.8	1.815
20.0	1.7725
20.2	1.565
20.4	1.7975
20.6	2.0325
20.8	1.4375
21.0	1.535
21.2	1.3925
21.4	1.865
21.6	1.4825
21.8	1.0775
22.0	1.1475
22.2	1.17
22.4	1.2725
22.6	1.005
22.8	0.765
23.0	0.71
23.2	0.5925
23.4	0.5775
23.6	0.625
23.8	0.65
24.0	0.7675
24.2	0.7575
24.4	0.5025
24.6	0.96
24.8	0.7475
25.0	0.395
25.2	0.5475
25.4	0.59
25.6	0.5025
25.8	0.7325
26.0	0.82
26.2	0.325
26.4	0.3575
26.6	0.455
26.8	0.485
27.0	0.4525
27.2	0.4375
27.4	0.2775
27.6	0.3325
27.8	0.2475
28.0	0.2475
28.2	0.2525
28.4	0.2625
28.6	0.235
28.8	0.25
29.0	0.3725
29.2	0.2625
29.4	0.3725
29.6	0.31
29.8	0.2175
30.0	0.23
30.2	0.365
30.4	0.1875
30.6	0.305
30.8	0.575
31.0	0.4075
31.2	0.6175
31.4	0.2075
31.6	0.2025
31.8	0.2225
32.0	0.4225
32.2	0.16
32.4	0.16
32.6	0.3875
32.8	0.2075
33.0	0.41
33.2	0.155
33.4	0.1175
33.6	0.1575
33.8	0.55
34.0	0.135
34.2	0.21
34.4	0.13
34.6	0.25
34.8	0.125
35.0	0.3225
