E	I
4	14.0825
4.2	4.5775
4.4	0.575
4.6	0.0
4.8	0.0
5.0	0.0
5.2	0.0
5.4	0.2075
5.6	4.415
5.8	13.1325
6.0	22.5825
6.2	29.8025
6.4	34.8575
6.6	38.7725
6.8	39.6775
7.0	37.7225
7.2	36.7425
7.4	28.28
7.6	23.03
7.8	27.92
8.0	24.395
8.2	19.0575
8.4	15.14
8.6	11.865
8.8	8.88
9.0	5.3725
9.2	4.625
9.4	4.8925
9.6	2.74
9.8	3.105
10.0	7.9825
10.2	7.28
10.4	5.1225
10.6	21.39
10.8	32.935
11.0	42.66
11.2	41.7675
11.4	48.395
11.6	53.085
11.8	57.0325
12.0	11.595
12.2	60.1475
12.4	62.395
12.6	61.75
12.8	60.6775
13.0	54.9175
13.2	59.425
13.4	58.25
13.6	53.2325
13.8	46.64
14.0	44.9675
14.2	37.72
14.4	33.08
14.6	29.07
14.8	21.915
15.0	19.36
15.2	15.7925
15.4	6.5725
15.6	8.125
15.8	3.925
16.0	0.63
16.2	0.31
16.4	0.0375
16.6	0.01
16.8	0.0
17.0	0.0
17.2	0.0
17.4	0.0
17.6	0.0
17.8	0.0025
18.0	0.1075
18.2	3.3675
18.4	12.7225
18.6	17.79
18.8	30.5975
19.0	35.89
19.2	42.4025
19.4	49.075
19.6	60.19
19.8	61.6775
20.0	67.365
20.2	67.355
20.4	82.95
20.6	91.7375
20.8	89.7275
21.0	97.945
21.2	95.995
21.4	99.5775
21.6	100.86
21.8	102.0675
22.0	99.5975
22.2	101.605
22.4	105.9125
22.6	101.9575
22.8	110.535
23.0	109.2625
23.2	107.7525
23.4	108.2625
23.6	103.3525
23.8	110.415
24.0	103.4075
24.2	106.9625
24.4	102.7925
24.6	109.865
24.8	100.35
25.0	100.06
25.2	101.355
25.4	99.1775
25.6	95.3325
25.8	101.745
26.0	100.265
26.2	94.4275
26.4	90.3125
26.6	84.095
26.8	82.1475
27.0	77.05
27.2	71.535
27.4	73.65
27.6	70.52
27.8	66.1875
28.0	56.3025
28.2	57.65
28.4	58.68
28.6	52.0375
28.8	61.885
29.0	52.02
29.2	45.015
29.4	50.0125
29.6	47.2975
29.8	46.32
30.0	48.75
30.2	53.6725
30.4	56.01
30.6	56.1525
30.8	60.02
31.0	56.6975
31.2	59.5025
31.4	63.1125
31.6	64.24
31.8	67.6575
32.0	62.7825
32.2	72.4225
32.4	70.2175
32.6	71.9
32.8	80.235
33.0	77.2125
33.2	74.6675
33.4	80.2025
33.6	83.6875
33.8	0.0
34.0	89.4825
34.2	87.22
34.4	83.3075
34.6	92.8675
34.8	91.4425
35.0	88.49
