E	I
4	8.83564814814815
4.2	8.835648148148149
4.4	35.98996913580247
4.6	79.63445216049382
4.8	130.02372685185185
5.0	174.12480709876542
5.2	197.82735339506172
5.4	203.7361111111111
5.6	200.62461419753086
5.8	194.51716820987656
6.0	187.9332561728395
6.2	181.63020833333331
6.4	176.6039737654321
6.6	172.67534722222223
6.8	170.4934413580247
7.0	170.33101851851853
7.2	172.33545524691357
7.4	176.5565200617284
7.6	182.80459104938274
7.8	190.67283950617283
8.0	199.92881944444446
8.2	210.01157407407405
8.4	220.30150462962962
8.6	230.274112654321
8.8	239.49845679012344
9.0	247.6111111111111
9.2	254.39795524691357
9.4	259.91801697530866
9.6	263.8533950617284
9.8	266.45640432098764
10.0	267.99247685185185
10.2	268.7386188271605
10.4	269.06693672839504
10.6	269.2283950617284
10.8	269.26909722222223
11.0	269.2505787037037
11.2	269.18904320987656
11.4	269.0108024691358
11.6	268.38425925925924
11.8	267.5596064814815
12.0	266.0644290123457
12.2	264.06057098765433
12.4	261.91859567901236
12.6	258.9178240740741
12.8	255.54726080246914
13.0	251.7937885802469
13.2	246.91512345679013
13.4	241.56442901234567
13.6	235.54417438271605
13.8	228.7986111111111
14.0	222.35802469135803
14.2	215.73996913580245
14.4	209.4471450617284
14.6	203.48533950617286
14.8	197.60628858024694
15.0	191.9295910493827
15.2	186.5733024691358
15.4	181.63927469135803
15.6	177.14679783950618
15.8	173.01176697530866
16.0	169.27083333333331
16.2	165.7210648148148
16.4	162.5968364197531
16.6	159.94675925925927
16.8	157.63252314814815
17.0	155.66300154320987
17.2	154.18132716049382
17.4	153.12442129629628
17.6	152.31886574074073
17.8	152.04320987654322
18.0	151.6141975308642
18.2	151.45466820987653
18.4	151.27025462962962
18.6	151.06018518518516
18.8	150.5
19.0	149.73109567901236
19.2	148.97800925925927
19.4	147.4392361111111
19.6	146.11612654320987
19.8	144.15354938271605
20.0	141.89023919753083
20.2	139.5522762345679
20.4	136.95505401234567
20.6	134.41608796296296
20.8	131.50945216049382
21.0	128.65972222222223
21.2	125.71797839506172
21.4	122.69965277777777
21.6	119.83719135802468
21.8	116.9789737654321
22.0	114.10011574074075
22.2	111.30439814814815
22.4	108.70100308641975
22.6	106.0792824074074
22.8	103.59645061728395
23.0	101.62345679012344
23.2	99.32214506172839
23.4	97.38927469135803
23.6	95.54764660493827
23.8	93.48051697530863
24.0	91.83661265432099
24.2	90.17283950617283
24.4	88.45042438271605
24.6	86.82696759259261
24.8	85.08969907407409
25.0	83.46199845679013
25.2	81.94868827160494
25.4	80.53645833333334
25.6	79.4207175925926
25.8	78.10551697530865
26.0	77.02719907407408
26.2	75.77854938271605
26.4	74.63155864197532
26.6	73.6141975308642
26.8	72.66126543209876
27.0	71.82021604938272
27.2	70.7914737654321
27.4	69.97395833333334
27.6	68.87982253086419
27.8	68.05246913580247
28.0	67.28530092592592
28.2	66.39429012345678
28.4	65.71604938271605
28.6	64.96064814814815
28.8	64.27141203703704
29.0	63.617283950617285
29.2	62.90586419753086
29.4	62.275848765432094
29.6	61.698109567901234
29.8	61.060570987654316
30.0	60.565200617283956
30.2	59.90316358024691
30.4	59.41724537037037
30.6	58.918016975308646
30.8	58.501157407407405
31.0	58.21296296296296
31.2	57.692322530864196
31.4	57.496141975308646
31.6	57.08815586419753
31.8	56.735918209876544
32.0	56.40104166666667
32.2	55.86304012345679
32.4	55.53510802469136
32.6	55.108410493827165
32.8	54.56983024691358
33.0	54.270254629629626
33.2	53.717592592592595
33.4	53.3275462962963
33.6	53.16493055555556
33.8	52.52604166666667
34.0	51.908179012345684
34.2	51.20331790123457
34.4	50.41975308641975
34.6	49.74652777777777
34.8	49.36265432098766
35.0	49.048032407407405
