E	I
4	22.7725
4.2	21.7125
4.4	20.9525
4.6	19.3325
4.8	18.68
5.0	17.48
5.2	16.455
5.4	15.285
5.6	14.84
5.8	14.1925
6.0	13.5975
6.2	12.5025
6.4	11.44
6.6	11.0675
6.8	10.3775
7.0	9.6975
7.2	9.375
7.4	9.1925
7.6	8.4475
7.8	7.585
8.0	7.3575
8.2	6.9125
8.4	6.715
8.6	6.18
8.8	6.5225
9.0	5.5675
9.2	5.225
9.4	4.88
9.6	4.9725
9.8	4.76
10.0	4.605
10.2	4.57
10.4	4.41
10.6	4.18
10.8	4.0025
11.0	4.0025
11.2	3.815
11.4	3.8575
11.6	3.5475
11.8	3.79
12.0	3.4275
12.2	3.2775
12.4	3.1725
12.6	3.0525
12.8	3.4575
13.0	3.18
13.2	2.8675
13.4	3.05
13.6	2.9125
13.8	2.91
14.0	2.795
14.2	2.68
14.4	2.655
14.6	2.585
14.8	2.345
15.0	2.4875
15.2	2.25
15.4	2.2625
15.6	2.37
15.8	2.1225
16.0	2.045
16.2	2.0575
16.4	2.0575
16.6	1.9
16.8	1.7
17.0	1.9725
17.2	1.73
17.4	1.8675
17.6	1.8175
17.8	1.59
18.0	1.64
18.2	1.54
18.4	1.3075
18.6	1.4175
18.8	1.4275
19.0	1.2375
19.2	1.4675
19.4	1.3825
19.6	1.195
19.8	1.2575
20.0	1.1575
20.2	1.0325
20.4	1.1625
20.6	1.0275
20.8	1.1375
21.0	1.09
21.2	1.4225
21.4	0.8525
21.6	1.0325
21.8	1.1175
22.0	0.84
22.2	0.9125
22.4	0.875
22.6	0.87
22.8	0.775
23.0	0.6525
23.2	0.75
23.4	0.8375
23.6	0.74
23.8	0.625
24.0	0.6475
24.2	0.8325
24.4	1.16
24.6	0.5375
24.8	1.1225
25.0	0.435
25.2	0.6275
25.4	0.5525
25.6	0.5475
25.8	0.74
26.0	0.465
26.2	0.605
26.4	0.36
26.6	0.685
26.8	0.4725
27.0	0.4875
27.2	0.4775
27.4	0.5775
27.6	0.5975
27.8	0.51
28.0	0.6225
28.2	0.48
28.4	0.36
28.6	0.5025
28.8	0.3075
29.0	0.365
29.2	0.4925
29.4	0.3275
29.6	0.3325
29.8	0.5075
30.0	0.28
30.2	0.4375
30.4	0.3475
30.6	0.235
30.8	0.2625
31.0	0.5075
31.2	0.31
31.4	0.37
31.6	0.1925
31.8	0.32
32.0	0.31
32.2	0.215
32.4	0.2525
32.6	0.19
32.8	0.205
33.0	0.21
33.2	0.19
33.4	0.1725
33.6	0.21
33.8	0.3175
34.0	0.25
34.2	0.1275
34.4	0.1275
34.6	0.1925
34.8	0.195
35.0	0.57
