E	I
4	24.9625
4.2	24.9175
4.4	23.875
4.6	21.84
4.8	20.82
5.0	19.7075
5.2	18.485
5.4	17.4
5.6	17.3975
5.8	16.215
6.0	15.0725
6.2	14.5
6.4	13.3075
6.6	12.9875
6.8	11.685
7.0	11.41
7.2	10.375
7.4	9.9625
7.6	9.345
7.8	8.7825
8.0	8.005
8.2	7.8075
8.4	7.7425
8.6	6.9775
8.8	7.32
9.0	6.54
9.2	6.0725
9.4	5.9325
9.6	5.8875
9.8	5.5275
10.0	5.375
10.2	5.44
10.4	4.97
10.6	4.915
10.8	4.6875
11.0	4.8225
11.2	4.31
11.4	4.3425
11.6	4.3725
11.8	4.3875
12.0	3.9775
12.2	3.84
12.4	3.9625
12.6	3.91
12.8	4.105
13.0	3.4675
13.2	3.555
13.4	3.51
13.6	3.2225
13.8	3.435
14.0	3.22
14.2	3.18
14.4	3.035
14.6	2.935
14.8	2.7275
15.0	2.8525
15.2	2.5025
15.4	2.555
15.6	2.635
15.8	2.37
16.0	2.335
16.2	2.26
16.4	2.285
16.6	2.2175
16.8	2.14
17.0	2.325
17.2	2.0725
17.4	2.1775
17.6	1.945
17.8	1.905
18.0	1.825
18.2	1.85
18.4	1.93
18.6	1.705
18.8	1.615
19.0	1.4575
19.2	1.7
19.4	1.6625
19.6	1.6125
19.8	1.3825
20.0	1.4
20.2	1.32
20.4	1.35
20.6	1.3775
20.8	1.42
21.0	1.2775
21.2	1.665
21.4	1.2625
21.6	0.9675
21.8	1.3075
22.0	0.9675
22.2	1.0325
22.4	0.9975
22.6	0.9425
22.8	1.03
23.0	0.9625
23.2	0.9725
23.4	0.9225
23.6	0.8075
23.8	0.7975
24.0	0.8325
24.2	0.87
24.4	1.3075
24.6	0.9825
24.8	1.2925
25.0	0.7325
25.2	0.7375
25.4	0.6625
25.6	0.7725
25.8	0.86
26.0	0.5825
26.2	0.6975
26.4	0.565
26.6	0.7275
26.8	0.4775
27.0	0.5525
27.2	0.64
27.4	0.7075
27.6	0.7775
27.8	0.7125
28.0	0.6575
28.2	0.5
28.4	0.4525
28.6	0.64
28.8	0.4225
29.0	0.44
29.2	0.5925
29.4	0.3875
29.6	0.3975
29.8	0.7175
30.0	0.305
30.2	0.425
30.4	0.29
30.6	0.25
30.8	0.3625
31.0	0.4575
31.2	0.4725
31.4	0.425
31.6	0.3275
31.8	0.3675
32.0	0.285
32.2	0.305
32.4	0.2675
32.6	0.1925
32.8	0.285
33.0	0.1975
33.2	0.255
33.4	0.19
33.6	0.365
33.8	0.4
34.0	0.3725
34.2	0.225
34.4	0.2525
34.6	0.3125
34.8	0.2625
35.0	0.615
