E	I
4.0	269.2973372781065
4.2	269.2973372781065
4.4	270.44600591715977
4.6	273.6475591715976
4.8	274.79622781065086
5.0	274.9926035502959
5.2	274.9926035502959
5.4	274.9926035502959
5.6	274.9926035502959
5.8	274.9926035502959
6.0	274.9926035502959
6.2	274.9926035502959
6.4	274.9926035502959
6.6	274.9926035502959
6.8	274.9926035502959
7.0	274.9926035502959
7.2	274.89829881656806
7.4	274.89829881656806
7.6	274.89829881656806
7.8	274.89829881656806
8.0	274.9926035502959
8.2	274.9926035502959
8.4	274.89829881656806
8.6	274.8039940828403
8.8	274.8039940828403
9.0	274.80399408284023
9.2	274.89829881656806
9.4	274.9926035502959
9.6	274.9926035502959
9.8	274.9926035502959
10.0	274.9926035502959
10.2	274.9926035502959
10.4	274.9926035502959
10.6	274.9926035502959
10.8	274.9926035502959
11.0	274.9926035502959
11.2	274.9926035502959
11.4	274.9926035502959
11.6	274.9926035502959
11.8	274.9926035502959
12.0	274.9926035502959
12.2	274.9926035502959
12.4	274.9926035502959
12.6	274.9926035502959
12.8	274.9926035502959
13.0	274.9926035502959
13.2	274.9926035502959
13.4	274.9926035502959
13.6	274.9926035502959
13.8	274.9926035502959
14.0	274.9926035502959
14.2	274.9926035502959
14.4	274.9926035502959
14.6	274.95377218934914
14.8	274.95377218934914
15.0	274.9537721893491
15.2	274.9530325443787
15.4	274.9885355029586
15.6	274.98779585798815
15.8	274.98298816568047
16.0	274.9748520710059
16.2	274.967825443787
16.4	274.9234467455621
16.6	274.9234467455621
16.8	274.9223372781065
17.0	274.9312130177515
17.2	274.9593195266272
17.4	274.94785502958575
17.6	274.94970414201185
17.8	274.89977810650885
18.0	274.85946745562126
18.2	274.86168639053255
18.4	274.8132396449704
18.6	274.8062130177515
18.8	274.8076923076923
19.0	274.76294378698225
19.2	274.76368343195264
19.4	274.76442307692304
19.6	274.7614644970414
19.8	274.75998520710056
20.0	274.75369822485203
20.2	274.74815088757396
20.4	274.74186390532543
20.6	274.74112426035504
20.8	274.74075443786984
21.0	274.7377958579882
21.2	274.73631656804736
21.4	274.7559171597633
21.6	274.7573964497042
21.8	274.75887573964496
22.0	274.78069526627223
22.2	274.7573964497042
22.4	274.7751479289941
22.6	274.7965976331361
22.8	274.76960059171597
23.0	274.75258875739644
23.2	274.7451923076923
23.4	274.7170857988166
23.6	274.6213017751479
23.8	274.57359467455626
24.0	274.4378698224852
24.2	274.3424556213018
24.4	274.219674556213
24.6	273.9948224852071
24.8	273.84689349112426
25.0	273.407174556213
25.2	272.9215976331361
25.4	272.5802514792899
25.6	272.1150147928994
25.8	271.68897928994085
26.0	271.26294378698225
26.2	270.6945266272189
26.4	269.74852071005915
26.6	268.7873520710059
26.8	267.62204142011836
27.0	266.1501479289941
27.2	265.10059171597635
27.4	263.78328402366867
27.6	262.68491124260356
27.8	261.3557692307692
28.0	259.8302514792899
28.2	258.2585059171597
28.4	256.305473372781
28.6	254.68934911242604
28.8	252.43084319526628
29.0	250.21116863905326
29.2	248.2082100591716
29.4	245.93454142011834
29.6	244.46671597633136
29.8	242.77921597633136
30.0	240.9023668639053
30.2	238.82692307692307
30.4	236.4633875739645
30.6	234.29955621301775
30.8	232.32433431952663
31.0	230.2644230769231
31.2	228.57507396449705
31.4	226.53254437869822
31.6	224.4101331360947
31.8	222.49778106508876
32.0	220.3128698224852
32.2	218.39977810650888
32.4	216.48076923076923
32.6	214.53439349112426
32.8	212.33912721893492
33.0	210.35872781065092
33.2	208.0207100591716
33.4	205.86538461538458
33.6	203.8650147928994
33.8	201.6819526627219
34.0	199.70562130177515
34.2	198.16826923076923
34.4	196.58875739644972
34.6	194.90125739644972
34.8	193.41531065088756
35.0	191.94156804733728
